taker_id,group_id
193,39
194,39
195,39
196,39
197,39
198,39
199,39
210,39
227,40
228,40
229,40
231,40
235,39
243,40
244,40
245,40
246,40
242,40
247,40
253,40
255,40
256,40
257,40
258,40
265,39
266,39
280,40
281,40
282,40
283,40
284,40
301,40
302,40
303,40
307,39
308,39
309,39
310,39
311,39
313,40
314,41
315,41
316,41
317,41
318,41
319,41
320,41
321,41
322,41
323,41
324,41
325,41
326,41
327,41
328,41
329,41
330,41
331,41
332,41
333,41
334,41
335,41
336,41
337,41
338,41
339,41
340,41
341,41
342,41
343,41
344,41
345,41
346,41
347,41
348,41
349,41
350,41
351,41
352,41
353,41
354,41
355,41
356,41
357,41
358,41
359,41
360,41
361,41
362,41
363,41
364,41
365,41
366,41
367,41
368,41
369,41
370,41
371,41
372,41
373,41
374,41
375,41
376,41
377,41
378,41
379,41
380,41
381,41
382,41
383,41
384,41
385,41
386,41
387,41
388,41
389,41
390,41
391,41
392,41
393,41
394,41
395,41
396,41
397,41
398,41
399,41
400,41
401,41
402,41
403,41
404,41
405,41
406,41
407,41
408,41
409,41
410,41
411,41
412,41
413,44
414,44
415,44
416,44
417,44
418,44
279,44
278,44
277,44
276,44
419,44
420,45
422,46
423,46
424,46
425,46
426,46
427,46
428,46
429,46
430,46
431,46
432,46
433,46
434,46
435,46
436,46
437,46
438,46
439,46
440,46
441,46
442,46
443,46
444,46
445,46
446,46
447,46
448,46
449,46
450,46
451,46
452,46
453,46
454,46
455,46
456,46
457,46
458,46
459,46
460,46
461,46
261,46
262,46
263,46
264,46
413,46
277,46
415,46
417,46
278,46
279,46
418,46
419,46
276,46
416,46
244,46
267,46
268,46
269,46
270,46
271,46
272,46
273,46
274,46
275,46
285,46
286,46
287,46
288,46
289,46
290,46
291,46
292,46
294,46
295,46
296,46
293,46
297,46
298,46
299,46
300,46
304,46
305,46
306,46
259,46
310,46
462,47
297,48
298,48
299,48
300,48
456,48
457,48
458,48
268,51
267,51
269,51
270,51
271,51
272,51
273,51
274,51
275,51
261,51
262,51
263,51
264,51
413,50
442,50
285,50
277,40
297,50
304,50
415,50
443,50
287,50
417,50
444,50
286,50
278,50
445,50
298,50
279,50
299,50
305,50
418,50
300,50
419,50
306,50
290,51
295,51
296,51
294,51
292,51
310,51
291,51
289,51
277,50
422,52
423,52
424,52
425,52
426,52
427,52
428,52
429,52
430,52
431,52
432,52
433,52
434,52
435,52
464,52
276,52
416,52
414,52
436,52
437,52
462,52
465,52
439,52
438,52
466,52
467,52
268,52
440,52
441,52
468,52
469,52
470,52
471,52
472,52
473,52
474,52
475,52
476,52
477,52
478,52
479,52
480,52
481,52
482,52
483,52
484,52
288,52
447,52
485,52
486,52
487,52
488,52
489,52
450,52
451,52
454,52
455,52
293,52
490,52
491,52
492,52
493,52
494,52
495,52
496,52
456,52
457,52
458,52
497,52
498,52
499,52
259,52
459,52
500,52
501,52
502,52
503,52
504,52
505,52
506,52
507,52
508,52
509,52
510,52
453,52
276,53
436,53
416,53
462,53
437,53
439,53
414,53
465,53
479,53
480,53
481,53
482,53
483,53
484,53
288,53
447,53
458,53
457,53
456,53
459,53
501,53
259,53
460,53
424,55
427,55
450,55
455,55
425,55
426,55
428,55
422,55
293,55
454,55
429,55
451,55
441,55
268,55
506,55
423,55
430,55
468,55
440,55
431,55
432,55
453,55
469,55
433,55
434,55
435,55
511,56
512,56
513,56
514,56
515,56
516,56
268,57
470,57
464,56
471,57
472,57
473,57
474,57
475,57
476,57
477,57
478,57
517,57
518,57
519,57
520,57
521,57
522,59
523,59
524,59
525,59
526,59
527,59
485,60
489,60
488,60
486,60
528,60
529,60
531,60
532,60
490,61
494,61
495,61
493,61
492,61
491,61
536,61
537,61
538,61
467,58
539,58
540,58
466,58
438,58
541,58
542,58
543,58
544,58
545,58
546,58
497,62
498,62
547,62
548,62
549,62
550,62
551,62
552,62
553,62
554,62
555,62
556,62
502,63
503,63
504,63
505,63
557,63
558,63
507,64
508,64
559,64
560,61
561,59
563,65
449,66
485,66
488,66
524,66
505,66
486,66
467,66
539,66
540,66
502,66
504,66
503,66
528,66
466,66
523,66
522,66
525,66
477,67
494,67
509,67
464,67
517,67
476,67
491,67
495,67
470,67
511,67
508,67
478,67
268,67
520,67
493,67
510,67
518,67
490,67
513,67
519,67
507,67
472,67
473,67
471,67
514,67
474,67
452,67
475,67
492,67
564,68
565,68
566,68
567,68
568,68
569,68
570,68
571,68
572,68
573,69
574,69
575,69
576,69
577,69
578,69
579,69
580,69
581,69
582,69
583,69
584,69
585,69
586,69
587,69
588,69
590,69
591,69
438,69
592,69
593,69
594,69
595,69
596,69
597,69
598,69
599,69
600,69
601,69
602,69
603,69
604,69
605,69
606,69
607,69
527,70
608,70
609,70
610,70
611,70
613,70
614,70
615,70
616,70
617,70
618,69
531,69
532,69
530,69
536,69
537,69
538,69
497,70
498,70
548,70
620,70
549,70
621,70
550,70
554,70
622,70
556,70
623,70
624,70
625,70
626,70
627,70
628,70
558,69
557,69
629,69
630,69
631,69
632,69
633,69
634,69
636,69
635,69
448,69
637,69
638,69
639,69
640,69
641,69
642,69
643,69
562,71
529,71
574,71
575,71
538,71
634,71
587,71
546,71
589,71
591,71
576,71
530,71
558,71
536,71
577,71
438,71
578,71
531,71
516,71
521,71
592,71
545,71
537,71
594,71
573,71
580,71
595,71
532,71
633,71
557,71
550,72
620,72
549,72
622,72
498,72
621,72
554,72
497,72
527,72
548,72
556,72
644,73
645,73
646,73
648,73
649,73
650,73
651,73
652,73
581,74
581,75
582,74
582,75
583,74
583,75
584,74
584,75
585,74
585,75
586,74
586,75
653,74
654,74
655,74
596,74
596,75
598,74
598,75
599,74
599,75
600,74
600,75
601,74
601,75
597,74
656,74
657,74
658,74
659,74
660,74
604,74
604,75
605,74
605,75
606,74
606,75
607,74
603,74
661,74
662,74
663,74
664,74
665,74
666,74
667,74
668,74
608,74
608,75
609,74
609,75
610,74
610,75
611,74
611,75
613,74
613,75
614,74
614,75
615,74
615,75
616,74
616,75
617,74
617,75
669,74
670,74
671,74
672,74
448,74
448,75
641,74
641,75
642,74
642,75
643,74
643,75
673,74
674,74
675,74
676,74
677,74
678,74
638,74
638,75
640,74
640,75
679,74
680,74
681,74
623,74
623,75
625,75
625,74
626,74
626,75
627,74
627,75
628,74
628,75
553,74
682,74
683,74
684,74
685,74
686,74
631,74
631,75
632,74
632,75
630,74
687,74
688,74
689,74
635,74
635,75
636,74
636,75
690,74
691,74
652,76
692,77
653,77
655,77
694,77
695,77
696,77
697,77
699,77
700,77
701,77
702,77
659,77
660,77
656,77
597,77
657,77
658,77
703,77
704,77
705,77
706,77
707,77
603,77
607,77
661,77
664,77
663,77
662,77
666,77
665,77
667,77
668,77
708,77
671,77
672,77
670,77
669,77
709,77
710,77
711,77
712,77
713,77
714,77
715,77
673,77
675,77
676,77
674,77
678,77
677,77
716,77
717,77
718,77
719,77
720,77
681,77
680,77
679,77
721,77
722,77
723,77
724,77
624,77
682,77
683,77
684,77
685,77
686,77
725,77
726,77
727,77
728,77
630,77
687,77
688,77
689,77
729,77
730,77
731,77
732,77
733,77
734,77
690,77
735,77
736,77
737,77
738,77
739,77
740,77
597,79
656,79
659,79
657,79
660,79
603,79
607,79
661,79
664,79
663,79
662,79
666,79
675,79
673,79
676,79
674,79
637,79
679,79
639,79
735,79
690,79
689,79
687,79
630,79
688,79
553,79
682,79
683,79
685,79
684,79
686,79
672,79
669,79
671,79
670,79
741,80
742,80
743,80
744,80
745,80
746,80
747,80
748,80
749,80
750,80
751,80
752,81
753,81
753,84
693,84
754,85
654,85
755,85
756,85
757,85
758,85
759,85
760,85
761,85
762,85
763,85
764,85
766,85
767,85
768,85
769,85
770,85
771,85
772,85
704,85
705,85
707,85
773,85
774,85
775,85
776,85
777,85
739,85
740,85
778,85
779,85
780,85
781,85
782,85
783,85
784,85
785,85
786,85
787,85
788,85
789,85
790,85
791,85
678,85
792,85
793,85
794,85
795,85
796,85
797,85
798,85
799,85
800,85
801,85
802,85
803,85
804,85
805,85
806,85
807,85
808,85
809,85
810,85
811,85
812,85
813,85
814,85
815,85
816,85
817,85
818,85
819,85
820,85
821,85
822,85
823,85
824,85
825,85
826,85
827,85
828,85
829,85
830,85
831,85
832,85
833,85
834,85
754,86
755,86
654,86
756,86
757,86
758,86
759,86
760,86
768,86
703,86
706,86
705,86
771,86
704,86
772,86
707,86
658,86
774,86
739,86
740,86
778,86
779,86
678,86
792,86
793,86
796,86
797,86
798,86
799,86
800,86
814,86
738,86
816,86
817,86
818,86
821,86
822,86
823,86
734,86
825,86
783,86
784,86
785,86
711,86
804,86
805,86
806,86
807,86
808,86
809,86
835,87
836,87
837,87
